Must be local?,token,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025,q026,q027,q028,q029,q030,q031,q032,q033,q034,q035,q036,q037,q038,q039,q040,q041,q042,q043,q044,q045,q046,q047,q048,q049,q050,q051,q052,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q070,q071,q072,q073,q074,q075,q076,q077,q078,q079,q080,q081,q082,q083,q084,q085,q086,q087,q088,q089,q090,q091,q092,q093,q094,q095,q096,q097,q098,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,q124,q125,q126,q127,q128,q129,q130,q131,q132,q133,q134
1,48667_339,,Honours (Distinction),,Bachelor of Technology (Electronics Engineering),,6/30/2016,Law,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,150,3000,Public Administration and Defence,,Non Applicable based on skip pattern,,,To a great extent,5,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,No,,,2016,Three,Non Applicable based on skip pattern,9,2016,3,2016,Yes,No,No,No,No,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,No,,,,,,,,,,,,,,,,Q21_2 Centre for Future-ready Graduates Career Events,Non Applicable based on skip pattern,,"No, do not intend to pursue at all",Non Applicable based on skip pattern,,,,,,,No,Non Applicable based on skip pattern,,Yes,Not applicable,Satisfied,Neutral,Not applicable,Not applicable,Not applicable,Agree,Very well,Well,Well,Well,Very well,Fairly well,Fairly well,Very well,Very well,Very well,A little,Not applicable,Not applicable,Not applicable,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,STATISTICS (HONS),,,NORMAL,,1510,Singapore Citizen,F,N,,,,,,
1,56575_1045,,Pass with Merit,,Bachelor of Laws,,6/30/2016,,Currrent course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,CENTRAL NARCOTICS BUREAU,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,3100,Public Administration and Defence,,"Others, please provide job title and description",,FINANCIAL PLANNING,To some extent,5,"Yes, I am employed in a job partially related to my course of study","Applied for training-related job, but did not get an offer",,No,,,2016,Non Applicable based on skip pattern,Non Applicable based on skip pattern,6,2016,4,2016,Yes,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,Yes,Non Applicable based on skip pattern,No,No,No,No,No,,,,,,,,,,,,,,,,Q21_13 Referrals by family members and friends,"Finding jobs to apply to, that is related to my career interest",,"Yes, intend to pursue in the future (not within the next 5 years)",MBA,,NIL,,,,,Yes,Non Applicable based on skip pattern,,Not applicable. I am not aware of the career services offered,Not applicable,Neutral,Not applicable,Neutral,Not applicable,Neutral,Neutral,Well,Well,Very well,Well,A little,Very well,Fairly well,Well,Well,Fairly well,A little,Not at all,Not at all,Well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,LAWS (HONS) - 4 YEAR,,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,30762_1158,,Pass with Merit,,Bachelor of Social Sciences,,6/30/2016,Medicine,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3650,,1500,Public Administration and Defence,,Non Applicable based on skip pattern,,FINANCIAL PLANNING,Not at all,3,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,No,,AUGUST,2016,Two,Non Applicable based on skip pattern,11,2016,5,2016,No,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,No,No,,,,,,,,,,,,,,4,,Q21_8 Other job websites portals,Getting offers after the interview,,"Yes, intend to pursue in the near future (within the next 5 years)",Non Applicable based on skip pattern,,,,,,RAILWAY ENGINEERING,No,Non Applicable based on skip pattern,,Yes,Not applicable,Not applicable,Neutral,Neutral,Satisfied,Satisfied,Agree,Well,Well,Well,Well,Well,Fairly well,Fairly well,Very well,Well,Well,Fairly well,Well,Fairly well,Fairly well,Strongly agree,Chinese,,Singapore Citizen,,Follow up,UGRD,COMPUTER ENGINEERING(HONS)-CEG,,,NORMAL,Architectural Design-TRK,1520,Singapore Citizen,F,N,,,,,,
1,30631_1849,,Honours (Distinction),,Bachelor of Social Sciences,,6/30/2016,Real Estate,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,OTHER,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,3800,Public Administration and Defence,,"Others, please provide job title and description",,,Non Applicable based on skip pattern,5,"Yes, I am employed in a job partially related to my course of study",Non Applicable based on skip pattern,,No,,DECEMBER,2016,Two,Non Applicable based on skip pattern,10,2016,2,2016,No,Yes,No,No,No,No,Non Applicable based on skip pattern,Yes,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,Getting offers after the interview,,"Yes, intend to pursue in the near future (within the next 5 years)",Skills-Based Modular Courses offered by Universities and Polytechnics,,,,,,,Neutral,Non Applicable based on skip pattern,,No,Satisfied,Neutral,Very satisfied,Satisfied,Not applicable,Not applicable,Agree,Fairly well,Fairly well,Well,Well,A little,Well,Fairly well,Fairly well,Fairly well,A little,A little,Fairly well,A little,Not applicable,Neutral,Chinese,,Singapore Citizen,,Follow up,UGRD,BIOMEDICAL ENGINEERING (HONS),,,NORMAL,Design-SPN,1520,Singapore Citizen,M,N,,,,,,
1,14851_122,,Honours (Distinction),,Bachelor of Science,,6/30/2016,Law,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,,"Real Estate (Sales, Rental & Leasing)",,Advocate/ Solicitor,,,To some extent,4,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,SEPTEMBER,2016,Non Applicable based on skip pattern,Non Applicable based on skip pattern,8,2016,5,2016,Non Applicable based on skip pattern,No,Yes,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,Yes,No,No,Yes,No,No,No,,,,,,,,,2,,13,,,,,,"Others, please specify:",,"No, do not intend to pursue at all",PhD,NOT SURE,,,,,,No,Non Applicable based on skip pattern,,Yes,Neutral,Not applicable,Neutral,Not applicable,Not applicable,Not applicable,Strongly disagree,Well,Very well,Fairly well,Well,Very well,Very well,Well,Well,Well,Fairly well,A little,Not applicable,Very well,Not applicable,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,PSYCHOLOGY (HONS),,,NORMAL,,1520,Singapore Citizen,F,N,,,,,,
1,1378_253,,Honours (Distinction),,Bachelor of Medicine and Bachelor of Surgery,,6/30/2016,Civil Eng,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,4000,,,"Real Estate (Sales, Rental & Leasing)",,Appraiser/ Valuer,,,4,3,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,No,,,2015,Two,"Yes, I attempted to look for employment",7,2016,4,2016,No,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,1,,,,,,,Q21_8 Other job websites portals,Getting an interview,,"No, do not intend to pursue at all",PhD,,,,,,,No,Non Applicable based on skip pattern,,Yes,Satisfied,Not applicable,Satisfied,Not applicable,Satisfied,Not applicable,Strongly agree,Well,Well,Well,Well,Well,A little,Very well,A little,Well,Fairly well,Fairly well,Very well,Not applicable,Very well,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,PROJECT & FAC. MGT (HONS),,,DDP,,1520,Singapore Citizen,M,N,,,,,,
1,33323_1804,,Honours (Distinction),,Bachelor of Social Sciences,,4/30/2016,Science,Current course was my first choice of study,Singapore,Not working and not looking for a job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,,Retail Trade,,Non Applicable based on skip pattern,,,Non Applicable based on skip pattern,3,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,No,,AUGUST,2016,None (Bonded to Sponsoring Organisation),Non Applicable based on skip pattern,9,2016,2,2016,No,Yes,No,No,Yes,No,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,No,No,,,,,,,,,,,,,,,,,Non Applicable based on skip pattern,,"Yes, intend to pursue in the near future (within the next 5 years)",Master’s Degree by research,,,,,,,No,Non Applicable based on skip pattern,,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Very well,Well,Well,Very well,Fairly well,Well,A little,Very well,Fairly well,Well,A little,Well,Very well,Very well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,CHEMICAL ENGINEERING (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,42939_578,,Pass,,Bachelor of Science (Project and Facilities Management),,6/30/2016,Law,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,,"Scientific Research & Development (Includes R&D on Natural Sciences & Engineering, Social Sciences & Humanities)",,Operations Officer (except Transport Operations),,,Non Applicable based on skip pattern,4,"Yes, I am employed in a job partially related to my course of study",Non Applicable based on skip pattern,,No,,OCTOBER,,Two,"No, I did not look for employment",8,2016,8,2016,No,Yes,Non Applicable based on skip pattern,No,No,No,Yes,Non Applicable based on skip pattern,Yes,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,,3,,,,,,,12,,,,,,,,Getting an interview,,"Yes, intend to pursue in the near future (within the next 5 years)",Master’s Degree by coursework,NUS,,,,,RAILWAY ENGINEERING,Neutral,Non Applicable based on skip pattern,,Not applicable. I am not aware of the career services offered,Satisfied,Not applicable,Satisfied,Satisfied,Very satisfied,Neutral,Strongly disagree,Fairly well,Fairly well,Well,Fairly well,Very well,Well,Well,Fairly well,Fairly well,Well,Not at all,Not applicable,Fairly well,Very well,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,LAWS (HONS) - 4 YEAR,,,NORMAL,,1420,Singapore Citizen,M,N,,,,,,
1,6232_1149,,Pass,,Bachelor of Arts (Architecture),,2/28/2016,Mechanical Eng,Currrent course was my first choice of study,China,Medical graduate serving housemanship,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,4050,,3300,"Scientific Research & Development (Includes R&D on Natural Sciences & Engineering, Social Sciences & Humanities)",,"Others, please provide job title and description",,,Non Applicable based on skip pattern,5,"Yes, I am employed in a job related to my course of study",Better career prospects in current job,,"Yes, mainly to obtain a job with better pay/ career prospects",,,2016,None,Non Applicable based on skip pattern,4,2016,3,2016,Yes,No,No,No,Non Applicable based on skip pattern,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,2,,,Getting an interview,,"Yes, currently pursuing",Advanced/ Specialist Diploma offered by Polytechnics,,,,,,,Yes,Non Applicable based on skip pattern,,"Not applicable. While I am aware of the career services, I have not used the career services offered",Satisfied,Not applicable,Neutral,Very satisfied,Neutral,Not applicable,Neutral,Well,Well,Well,Very well,Very well,Fairly well,A little,Fairly well,Well,Fairly well,A little,Well,Not applicable,A little,Strongly agree,Chinese,,Singapore Citizen,,Full Time,,COMPUTER SCIENCE (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,15498_1121,,Honours (Distinction),,Bachelor of Social Sciences,,6/30/2016,Arts & Soc Sci,Current course was not the first choice of study,Singapore,Not working but actively looking and available for work,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Government,,DBS,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,1300,Society & Community,,"Others, please provide job title and description",,,Non Applicable based on skip pattern,5,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,No,,MARCH,2016,Two,"Yes, I attempted to look for employment",9,2016,2,2016,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,Q21_8 Other job websites portals,"Finding jobs to apply to, that is related to my career interest",,"No, do not intend to pursue at all",PhD,,,,,,,Neutral,"Others, please specify",,"Not applicable. While I am aware of the career services, I have not used the career services offered",Satisfied,Neutral,Satisfied,Very dissatisfied,Dissatisfied,Not applicable,Neutral,Well,Well,Well,Not at all,Well,Very well,Well,Well,Well,Well,Well,Not applicable,Very well,Fairly well,Strongly agree,Chinese,,Singapore Citizen,,Full Time,,PSYCHOLOGY (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,55255_1963,,Honours (Merit),,Bachelor of Arts,,6/30/2013,Arts & Soc Sci,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,OTHER,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3200,,,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,,RESEARCH,To some extent,4,"Yes, I am employed in a job related to my course of study",Stronger interest in current job,,Non Applicable based on skip pattern,,JUNE,2011,None,Non Applicable based on skip pattern,7,2016,1,2016,No,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,No,,,,,,,,,,,,,,,,Q21_8 Other job websites portals,"Finding jobs to apply to, that is related to my career interest",,"Yes, intend to pursue in the future (not within the next 5 years)",MBA,,,,,,CIVIL ENGINEERING,Yes,I was not interested in my course of study. Right at the start this course was not my first choice,,Yes,Not applicable,Dissatisfied,Neutral,Neutral,Satisfied,Not applicable,Agree,Well,Well,Well,Well,A little,Well,Fairly well,Well,Fairly well,Fairly well,Well,Not applicable,Well,Not applicable,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,CHEMISTRY (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
0,352_643,,Honours (Distinction),,Bachelor of Science,,6/30/2016,Business Admin,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,OTHER,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,6000,,,"Arts, Entertainment and Recreation (Includes sports activities, libraries)",,General Practitioner/ Physician (Generalist Medical Practitioner),,FINANCIAL PLANNING,4,5,Non Applicable based on skip pattern,"Applied for training-related job, but did not get an offer",,"Yes, mainly to obtain a job with better pay/ career prospects",,MAY,,None (Bonded to Sponsoring Organisation),Non Applicable based on skip pattern,12,2016,8,2016,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,Non Applicable based on skip pattern,No,No,No,Yes,Non Applicable based on skip pattern,,,,,,,,,,,,,,,,,"Finding jobs to apply to, that is related to my career interest",,"No, do not intend to pursue at all","Others, please specify",,,,,,,No,Non Applicable based on skip pattern,,Yes,Not applicable,Very dissatisfied,Neutral,Very satisfied,Very satisfied,Not applicable,Neutral,Very well,A little,Very well,Fairly well,Well,Well,Well,Very well,Well,Not at all,Fairly well,Not applicable,Very well,Not applicable,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,CHEMICAL ENGINEERING (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,54612_899,,Honours (Distinction),,Bachelor of Science (Pharmacy),,6/30/2016,Business Admin,Current course was my first choice of study,Singapore,Not working but actively looking and available for work,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,MOHH,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,4900,Education,,Marketing and Sales Representative (Technical),,,Non Applicable based on skip pattern,5,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,"Yes, mainly to obtain a job with better pay/ career prospects",,JUNE,2016,None (Bonded to Sponsoring Organisation),"No, I did not look for employment",6,2016,6,2016,No,No,No,No,No,No,No,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,,Getting an interview,,"No, do not intend to pursue at all",Singapore Workforce Skills Qualification (WSQ) qualification,,,,,,TEACHING,No,Non Applicable based on skip pattern,,Yes,Satisfied,Not applicable,Dissatisfied,Not applicable,Very satisfied,Very satisfied,Disagree,Fairly well,Well,Very well,Very well,Well,Fairly well,Well,Well,Well,Very well,Not at all,Not applicable,Well,Not at all,Strongly agree,Chinese,,Singapore Citizen,,Full Time,UGRD,LAWS (HONS) - 4 YEAR,,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
1,36375_1370,,Honours (Distinction),,Bachelor of Science (Pharmacy),,6/30/2016,Medicine,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3900,,,Education,,"Others, please provide job title and description",,,4,5,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,No,,,,Three,Non Applicable based on skip pattern,9,2016,9,2016,No,No,No,No,Yes,No,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,1,,,,,,,,,,,,,,,Getting an interview,,"Yes, intend to pursue in the future (not within the next 5 years)",MBA,,NUS,,,,,No,I was not interested in my course of study. Right at the start this course was not my first choice,,Yes,Neutral,Satisfied,Not applicable,Not applicable,Neutral,Satisfied,Agree,Fairly well,Well,Very well,Fairly well,Well,Fairly well,Not at all,Very well,Very well,A little,Well,Not applicable,Not applicable,Fairly well,Agree,Chinese,,Singapore Citizen,,Full Time,UGRD,HISTORY (HONS),,,NORMAL,,1520,Singapore Citizen,F,N,,,,,,
0,971_1532,,Honours,,Bachelor of Science (Project and Facilities Management),,6/30/2016,Computer Eng,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,IHIS,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,4150,Education,,"Others, please provide job title and description",,,To a great extent,4,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,"Yes, mainly to utilise my skills more fully",,,2016,One,Non Applicable based on skip pattern,9,2016,9,2016,Non Applicable based on skip pattern,No,Yes,Yes,Non Applicable based on skip pattern,No,No,No,No,Non Applicable based on skip pattern,No,No,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,Q21_12 Social media networks,Getting offers after the interview,,"Yes, intend to pursue in the near future (within the next 5 years)",Master’s Degree by coursework,,,,,,,Yes,Non Applicable based on skip pattern,,Yes,Not applicable,Not applicable,Neutral,Very satisfied,Not applicable,Not applicable,Agree,Fairly well,Well,Fairly well,Fairly well,Well,Fairly well,Well,Fairly well,Fairly well,Very well,Well,Not applicable,Fairly well,Well,Strongly agree,Chinese,,Singapore Citizen,,Full Time,UGRD,ELECTRICAL ENGINEERING (HONS),,,NORMAL,,1500,Singapore Citizen,F,N,,,,,,
0,26171_1438,,Pass with Merit,,Bachelor of Science,,6/30/2016,Computing (Computer Science),Current course was not the first choice of study,China,Taking steps to start a business venture,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,WORKS APPLICATIONS,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,3500,,,Financial and Insurance,,"Others, please provide job title and description",,,To a great extent,5,"Yes, I am employed in a job related to my course of study",Stronger interest in current job,,"Yes, mainly to obtain a job with better pay/ career prospects",,,2016,One,"Yes, I attempted to look for employment",9,2016,9,2016,No,No,No,No,No,No,No,No,No,Non Applicable based on skip pattern,No,Yes,Yes,No,,,,,,,,,,,,,,,,,Getting an interview,,"Yes, intend to pursue in the near future (within the next 5 years)",PhD,,NIL,,,,,No,Non Applicable based on skip pattern,,"Not applicable. While I am aware of the career services, I have not used the career services offered",Dissatisfied,Satisfied,Satisfied,Not applicable,Very satisfied,Not applicable,Agree,Well,Well,Fairly well,Not at all,Well,Well,Fairly well,Well,Fairly well,Fairly well,Fairly well,Not applicable,Fairly well,Fairly well,Strongly agree,Chinese,,Singapore Citizen,,Full Time,UGRD,CHEMICAL ENGINEERING (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
0,37176_731,,Pass,,Bachelor of Laws,,2/28/2016,Medicine,Current course was not the first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,OTHER,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,2800,,,Financial and Insurance,,"Others, please provide job title and description",,,Non Applicable based on skip pattern,3,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,AUGUST,2016,Two,Non Applicable based on skip pattern,5,2016,4,2016,No,No,Yes,No,Yes,Non Applicable based on skip pattern,No,Yes,Non Applicable based on skip pattern,No,No,Yes,Non Applicable based on skip pattern,No,,,,,,,,,,,,,,,,,Writing CV/ resume,,"Yes, intend to pursue in the future (not within the next 5 years)",Master’s Degree by coursework,,,,,,,Neutral,Non Applicable based on skip pattern,,Yes,Not applicable,Not applicable,Not applicable,Very satisfied,Dissatisfied,Neutral,Neutral,Well,Fairly well,Well,Fairly well,A little,Fairly well,Very well,Well,Well,Very well,Very well,Not applicable,Very well,Not applicable,Disagree,Chinese,,Singapore Citizen,,Follow up,UGRD,LIFE SCIENCES (HONS),,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
0,17702_617,,Honours (Merit),,Bachelor of Engineering (Mechanical Engineering),,6/30/2013,Electrical Eng,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,CENTRAL NARCOTICS BUREAU,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,4800,"Healthcare (Includes hospitals, medical, dental activities & pharmacies)",,Non Applicable based on skip pattern,,,To some extent,3,"Yes, I am employed in a job related to my course of study",Non Applicable based on skip pattern,,No,,,,One,"Yes, I attempted to look for employment",7,2016,6,2016,No,Non Applicable based on skip pattern,No,No,No,Yes,Non Applicable based on skip pattern,Yes,Yes,No,No,Non Applicable based on skip pattern,No,Non Applicable based on skip pattern,,,,,,,,,,,,,,,,Q21_5 Faculty School-level career services,Non Applicable based on skip pattern,,"Yes, intend to pursue in the near future (within the next 5 years)",Non Applicable based on skip pattern,,,,,,,Neutral,I was not interested in my course of study. I lost interest during the course itself,,Not applicable. I am not aware of the career services offered,Satisfied,Neutral,Neutral,Neutral,Neutral,Not applicable,Agree,Fairly well,A little,Fairly well,Fairly well,Very well,Very well,Fairly well,Fairly well,Fairly well,Well,Very well,Well,Fairly well,Not applicable,Neutral,Chinese,,Singapore Citizen,,Full Time,UGRD,BBA,,,NORMAL,,1520,Singapore Citizen,M,N,,,,,,
0,27059_1569,,Honours (Merit),,Bachelor of Environmental Studies,,6/30/2016,,Current course was not the first choice of study,China,Law graduate doing practical law course (PLC) Pupilage or reading in chambers,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,MINISTRY OF EDUCATION,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,,"Healthcare (Includes hospitals, medical, dental activities & pharmacies)",,"Others, please provide job title and description",,FINANCIAL PLANNING,Non Applicable based on skip pattern,3,Non Applicable based on skip pattern,Non Applicable based on skip pattern,,No,,APRIL,2016,One,Non Applicable based on skip pattern,3,2016,3,2016,No,Non Applicable based on skip pattern,No,No,No,No,No,Yes,Non Applicable based on skip pattern,Non Applicable based on skip pattern,No,No,No,Non Applicable based on skip pattern,,,,,,,,,,,,,,,,Q21_8 Other job websites portals,Writing CV/ resume,,"Yes, intend to pursue in the future (not within the next 5 years)",Graduate Diploma,,,,,,,Yes,Non Applicable based on skip pattern,,No,Satisfied,Not applicable,Very satisfied,Satisfied,Not applicable,Not applicable,Neutral,Very well,Fairly well,Well,Well,A little,Well,Fairly well,Well,Well,Very well,Well,Not applicable,Well,Well,Agree,Indian,,Singapore Citizen,,Full Time,UGRD,ELECTRONICS ENG (HONS),,,NORMAL,,1520,Singapore Citizen,F,N,,,,,,
0,47245_1575,,Honours (Distinction),,Bachelor of Science,,4/30/2016,Pharmacy,Current course was my first choice of study,Singapore,Working Full-Time in a Permanent job,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,Employee,Non Applicable based on skip pattern,,,Singapore,,Non Applicable based on skip pattern,,Non Applicable based on skip pattern,,,,"Healthcare (Includes hospitals, medical, dental activities & pharmacies)",,Non Applicable based on skip pattern,,FINANCIAL PLANNING,Not at all,3,"No, I am employed in a job not related to my course of study",Non Applicable based on skip pattern,,"Yes, mainly to utilise my skills more fully",,,2016,None,Non Applicable based on skip pattern,11,2016,3,2016,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Non Applicable based on skip pattern,Yes,No,No,No,No,No,No,No,Non Applicable based on skip pattern,,,,,,,,,,,,,,,,,Getting an interview,,"Yes, intend to pursue in the near future (within the next 5 years)",PhD,,,,,,,No,Non Applicable based on skip pattern,,Yes,Not applicable,Not applicable,Very satisfied,Dissatisfied,Not applicable,Not applicable,Agree,Well,A little,Well,Fairly well,Well,Very well,Fairly well,Well,Well,Very well,A little,Well,Not applicable,Well,Agree,Chinese,,Singapore Citizen,,Follow up,UGRD,HISTORY (HONS),,,NORMAL,Visual Computing-TRK,1520,Singapore Citizen,F,N,,,,,,
